Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Travel_Rarely,Sales,1,1,Female,2,Sales Executive,4,Single,5993,Yes,11,0,8,1,6,4,0
49,No,Travel_Frequently,Research & Development,8,2,Male,2,Research Scientist,2,Married,5130,No,23,1,10,3,10,7,1
37,Yes,Travel_Rarely,Research & Development,2,4,Male,1,Laboratory Technician,3,Single,2090,Yes,15,0,7,3,0,0,0
33,No,Travel_Frequently,Research & Development,3,5,Female,1,Research Scientist,3,Married,2909,Yes,11,0,8,3,8,7,3
27,No,Travel_Rarely,Research & Development,2,7,Male,1,Laboratory Technician,2,Married,3468,No,12,1,6,3,2,2,2
32,No,Travel_Frequently,Research & Development,2,8,Male,1,Laboratory Technician,4,Single,3068,No,13,0,8,2,7,7,3
59,No,Travel_Rarely,Research & Development,3,10,Female,1,Laboratory Technician,1,Married,2670,Yes,20,3,12,2,1,0,0
30,No,Travel_Rarely,Research & Development,24,11,Male,1,Laboratory Technician,3,Divorced,2693,No,22,1,1,3,1,0,0
38,No,Travel_Frequently,Research & Development,23,12,Male,3,Manufacturing Director,3,Single,9526,No,21,0,10,3,9,7,1
36,No,Travel_Rarely,Research & Development,27,13,Male,2,Healthcare Representative,3,Married,5237,No,13,2,17,2,7,7,7
35,No,Travel_Rarely,Research & Development,16,14,Male,1,Laboratory Technician,2,Married,2426,No,13,1,6,3,5,4,0
29,No,Travel_Rarely,Research & Development,15,15,Female,2,Laboratory Technician,3,Single,4193,Yes,12,0,10,3,9,5,0
31,No,Travel_Rarely,Research & Development,26,16,Male,1,Research Scientist,3,Divorced,2911,No,17,1,5,2,5,2,4
34,No,Travel_Rarely,Research & Development,19,18,Male,1,Laboratory Technician,4,Divorced,2661,No,11,1,3,3,2,2,1
28,Yes,Travel_Rarely,Research & Development,24,19,Male,1,Laboratory Technician,3,Single,2028,Yes,14,0,6,3,4,2,0
29,No,Travel_Rarely,Research & Development,21,20,Female,3,Manufacturing Director,1,Divorced,9980,No,11,1,10,3,10,9,8
32,No,Travel_Rarely,Research & Development,5,21,Male,1,Research Scientist,2,Divorced,3298,Yes,12,2,7,2,6,2,0
22,No,Non-Travel,Research & Development,16,22,Male,1,Laboratory Technician,4,Divorced,2935,Yes,13,2,1,2,1,0,0
53,No,Travel_Rarely,Sales,2,23,Female,4,Manager,4,Married,15427,No,16,0,31,3,25,8,3
38,No,Travel_Rarely,Research & Development,2,24,Male,1,Research Scientist,4,Single,3944,Yes,11,0,6,3,3,2,1
24,No,Non-Travel,Research & Development,11,26,Female,2,Manufacturing Director,3,Divorced,4011,No,18,1,5,2,4,2,1
36,Yes,Travel_Rarely,Sales,9,27,Male,1,Sales Representative,1,Single,3407,No,23,0,10,3,5,3,0
34,No,Travel_Rarely,Research & Development,7,28,Female,3,Research Director,2,Single,11994,No,11,0,13,3,12,6,2
21,No,Travel_Rarely,Research & Development,15,30,Male,1,Research Scientist,4,Single,1232,No,14,0,0,3,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,31,Male,1,Research Scientist,1,Single,2960,No,11,0,8,3,4,2,1
53,No,Travel_Rarely,Research & Development,5,32,Female,5,Manager,3,Divorced,19094,No,11,1,26,2,14,13,4
32,Yes,Travel_Frequently,Research & Development,16,33,Female,1,Research Scientist,1,Single,3919,Yes,22,0,10,3,10,2,6
42,No,Travel_Rarely,Sales,8,35,Male,2,Sales Executive,2,Married,6825,No,11,1,10,3,9,7,4
44,No,Travel_Rarely,Research & Development,7,36,Female,3,Healthcare Representative,4,Married,10248,No,14,1,24,3,22,6,5
46,No,Travel_Rarely,Sales,2,38,Female,5,Manager,1,Single,18947,No,12,0,22,2,2,2,2
33,No,Travel_Rarely,Research & Development,2,39,Male,1,Laboratory Technician,4,Single,2496,No,11,0,7,3,1,1,0
44,No,Travel_Rarely,Research & Development,10,40,Male,2,Healthcare Representative,4,Married,6465,Yes,13,0,9,4,4,2,1
30,No,Travel_Rarely,Research & Development,9,41,Male,1,Laboratory Technician,3,Single,2206,No,13,0,10,3,10,0,1
39,Yes,Travel_Rarely,Sales,5,42,Male,2,Sales Representative,4,Married,2086,No,14,1,19,4,1,0,0
24,Yes,Travel_Rarely,Research & Development,1,45,Male,1,Research Scientist,4,Married,2293,Yes,16,1,6,2,2,0,2
43,No,Travel_Rarely,Research & Development,2,46,Female,1,Research Scientist,3,Divorced,2645,No,12,2,6,2,5,3,1
50,Yes,Travel_Rarely,Sales,3,47,Male,1,Sales Representative,3,Married,2683,Yes,14,0,3,3,3,2,0
35,No,Travel_Rarely,Sales,2,49,Female,1,Sales Representative,4,Married,2014,No,13,0,2,3,2,2,2
36,No,Travel_Rarely,Research & Development,5,51,Female,1,Research Scientist,1,Married,3419,Yes,14,1,6,4,1,1,0
33,No,Travel_Frequently,Sales,1,52,Female,2,Sales Executive,1,Married,5376,No,19,2,10,3,5,3,1
35,No,Travel_Rarely,Research & Development,4,53,Male,1,Laboratory Technician,4,Divorced,1951,No,12,1,1,3,1,0,0
27,No,Travel_Rarely,Research & Development,2,54,Female,1,Laboratory Technician,1,Divorced,2341,No,13,1,1,3,1,0,0
26,Yes,Travel_Rarely,Research & Development,25,55,Male,1,Laboratory Technician,3,Single,2293,No,12,0,1,2,1,0,0
27,No,Travel_Frequently,Sales,8,56,Male,3,Sales Executive,3,Single,8726,No,15,0,9,3,9,8,1
30,No,Travel_Frequently,Research & Development,1,57,Female,2,Laboratory Technician,4,Single,4011,No,23,0,12,3,12,8,3
41,Yes,Travel_Rarely,Research & Development,12,58,Female,5,Research Director,3,Married,19545,No,12,0,23,3,22,15,15
34,No,Non-Travel,Sales,23,60,Male,2,Sales Executive,3,Single,4568,No,20,0,10,3,9,5,8
37,No,Travel_Rarely,Research & Development,19,61,Male,1,Research Scientist,2,Married,3022,No,21,0,8,3,1,0,0
46,No,Travel_Frequently,Sales,5,62,Male,2,Sales Executive,4,Single,5772,Yes,21,0,14,3,9,6,0
35,No,Travel_Rarely,Research & Development,8,63,Male,1,Laboratory Technician,4,Married,2269,No,19,0,1,3,1,0,0
48,Yes,Travel_Rarely,Research & Development,1,64,Male,3,Laboratory Technician,3,Single,5381,Yes,13,0,23,3,1,0,0
28,Yes,Travel_Rarely,Research & Development,5,65,Male,1,Laboratory Technician,3,Single,3441,Yes,13,0,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,68,Female,2,Sales Executive,1,Divorced,5454,Yes,21,1,9,2,4,3,1
35,No,Non-Travel,Research & Development,11,70,Male,3,Healthcare Representative,1,Married,9884,Yes,13,1,10,3,4,0,2
26,No,Travel_Rarely,Sales,23,72,Female,2,Sales Executive,4,Married,4157,Yes,19,1,5,2,2,2,0
33,No,Travel_Frequently,Research & Development,1,73,Female,3,Research Director,4,Single,13458,Yes,12,0,15,3,15,14,8
35,No,Travel_Frequently,Sales,18,74,Male,3,Sales Executive,1,Married,9069,No,22,1,9,2,9,8,1
35,No,Travel_Rarely,Research & Development,23,75,Female,1,Laboratory Technician,1,Married,4014,Yes,15,1,4,3,2,2,2
